V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.COUNTY_FIPS,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,V_GHG_EMITTER_FACILITIES.YEAR,V_GHG_EMITTER_FACILITIES.ZIP,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2011,92394,98,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2011,92394,93,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,740582
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2011,92394,97.5,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,740582
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2011,92394,97.5,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,1.374
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2011,92394,97.5,Natural Gas (Weighted U.S. Average),,,2011,Methane,13.74
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2011,92394,93,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2011,92394,97.5,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
San Bernardino,6071,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,2011,92394,98,Natural Gas (Weighted U.S. Average),,,2011,Methane,13.74
York,42133,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,2011,17314,1,Distillate Fuel Oil No. 2,,,2011,Carbon Dioxide,394740.1
York,42133,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,2011,17314,1,Distillate Fuel Oil No. 2,,,2011,Biogenic Carbon dioxide,0
York,42133,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,2011,17314,49.6,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
York,42133,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,2011,17314,1.2,Distillate Fuel Oil No. 2,,,2011,Nitrous Oxide,0.762
York,42133,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,2011,17314,51,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,394740.1
York,42133,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,2011,17314,51,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.762
York,42133,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,2011,17314,51,Natural Gas (Weighted U.S. Average),,,2011,Methane,7.47
